시약이름,CAS NO,제조사 이름,Product Code
"1,1-Diphenyl-2-picrylhydrazyl Free Radical",1898-66-4,TCI,D4313
"N,N'-Dihydroxypyromellitimide",57583-53-6,TCI,D4413
2-Hydroxy-2-azaadamantane,1155843-79-0,TCI,H1404
"4-Methylmorpholine N-Oxide (50% in Water, ca. 4.8mol/L)",7529-22-8,TCI,M0981
4-Methylmorpholine N-Oxide,7529-22-8,TCI,M2192
1-Methyl-3-[6-(methylsulfinyl)hexyl]imidazolium p-Toluenesulfonate,1352947-66-0,TCI,M2274
1-Methyl-3-[6-(methylthio)hexyl]imidazolium p-Toluenesulfonate,1352947-63-7,TCI,M2321
"N,N-Dimethylformamide", 68-12-02,Sigma Aldrich,227056
Hydrochloric acid,7647-01-0,DAEJUNG,4090-4405
Tetrahydrofuran,109-99-9,Daejung,8510-4400
Hydrochloric acid,7647-01-0,Sigma Aldrich,320331
Methanol,67-56-1,Sigma Aldrich,322415
Ru-MACHO,1295649-40-9,TCI,R0136
Benzene,71-43-2,Sigma Aldrich,401765
Tetrahydrofuran,109-99-9,Sigma Aldrich,401757
Allyl glycidyl ether,106-92-3,Sigma Aldrich,A32608
"1,4-Dioxane",123-91-1,Sigma Aldrich,296309
